sequence_number,timestamp,year,month,day,description
157,2020-07-19,2020,7,19,"A missile strike was launched against military targets in the vicinity of Damascus. The Syrian authorities say the attack was carried out by the IDF."
158,2020-08-31,2020,8,31,"Air strike against targets in southern Syria. SOHR: At least five militants killed. Significant damage was caused."
159,2020-09-02,2020,9,2,"Strikes were delivered to targets at the T4 military airfield in Homs. Significant damage was caused. According to SOHR, there are casualties and casualties."
160,2020-09-03,2020,9,3,"Air strikes against targets in eastern Syria, in the Al-Bukamal and Al-Mayadin areas. The objects of pro-Iranian militants were attacked. SOHR: at least 16 killed."
161,2020-09-11,2020,9,11,"Damascus says Israel Air Force attacked targets in the area near Al-Safira (east of Aleppo, northern Syria)."
162,2020-09-14,2020,9,14,"SOHR reports that warplanes, presumably from the Israeli Air Force, attacked positions of pro-Iranian militia in the Al-Bukamal area (Dir al-Zur province, in eastern Syria, near the border with Iraq). According to SOHR, at least 10 were killed."
163,2020-10-21,2020,10,21,"The IDF attacked Hezbollah and the Syrian army in the Quneitra area. According to SOHR, there were killed and wounded. The attacked targets were used by the Syrian army and Hezbollah militants to collect information on IDF movements in the Golan."
164,2020-11-18,2020,11,18,"The IDF attacked military installations in Syria belonging to the Iranian Quds Force and the Syrian army. There are killed and wounded (according to SOHR, at least 10 military personnel and militants were killed). The media reported that the Russian-made Pantsir-S1 Syrian air defense system was destroyed. The strikes were carried out in response to an attempted sabotage on the border."
165,2020-11-22,2020,11,22,"An air strike was launched against targets in the Al-Bukamal area, in eastern Syria. SOHR reports 15 non-Syrian militias killed. According to SOHR, the attack was carried out by the Israeli Air Force."
166,2020-11-25,2020,11,25,"Syrian media report a series of air strikes against targets between Damascus and Quneitra. The Syrian authorities say the attack was carried out by the IDF. According to SOHR, the IDF has carried out a series of strikes on targets of pro-Iranian militants and on positions of the Syrian army, which are used by militants loyal to Iran. Significant damage was caused, at least eight militants were killed."
167,2020-11-26,2020,11,26,"The SOHR monitoring group reported that as a result of an airstrike inflicted by unidentified fighters on targets of pro-Iranian groups on the border with Iraq, at least 20 militants were killed, significant damage was caused to infrastructure, buildings, and vehicles were destroyed. The targets attacked were in the countryside near Abu Kemal, east of the administrative center of Deir az-Zor and in the Al-Jalab valley."
168,2020-12-25,2020,12,25,"Air strike against targets in the Masyaf area. SOHR: The Israeli Air Force destroyed the warehouses and the headquarters of the research center of the military factories, where the Iranian militias were located (at least six of them were killed)."
169,2020-12-30,2020,12,30,"Air strike on targets near Damascus. SANA reports killed and wounded soldiers. According to SOHR, Hezbollah's missile and ammunition depots were attacked."
